"port_code","harbor_size","overhead_limits","channel_depth","anchorage_depth","cargo_depth","cranes_fixed","cranes_mobile","cranes_floating","railway","lifts100","lifts50","lifts25","lifts0","max_lift","lat","long"
"FRPSL","S","N",6,6,17,1,0,1,1,"U","U","Y","U",37,43.3833333333333,4.81666666666667
"FRPOV","S","U",8,23,8,1,1,0,0,"U","Y","Y","Y",12,42.5166666666667,3.11666666666667
"FRBES","L","Y",13,22,13,1,1,0,1,"U","Y","Y","Y",12,48.3833333333333,-4.5
"FRCER","L","Y",9,11,13,1,1,0,1,"Y","Y","Y","Y",12,49.65,-1.63333333333333
"FRRCO","M","Y",2,NA,6,1,1,0,1,"U","U","Y","Y",12,45.9333333333333,-0.95
"FRSML","S","Y",3,22,8,1,1,0,1,"U","U","U","Y",12,48.65,-2.01666666666667
"FRSRL","V","U",NA,11,2,0,0,0,1,"U","U","U","U",0,43.4166666666667,6.76666666666667
"FRSTP","V","U",5,13,5,0,0,0,1,"U","U","U","U",0,43.2666666666667,6.63333333333333
"FRSVS","V","U",0,NA,3,1,1,0,0,"U","U","U","Y",12,50.1833333333333,1.61666666666667
"FRSET","S","Y",14,8,13,0,1,0,1,"U","U","Y","Y",12,43.4,3.7
"FRSNR","M","U",13,19,8,1,1,1,0,"Y","Y","Y","Y",12,47.2833333333333,-2.2
"FRTON","S","Y",5,NA,5,1,1,0,0,"U","U","U","Y",12,45.9333333333333,-0.9
"FRTLN","L","Y",9,20,9,1,0,0,1,"U","U","Y","U",37,43.1,5.91666666666667
"FRTRE","V","U",3,11,16,0,1,0,0,"U","U","Y","U",37,48.7833333333333,-3.23333333333333
"FRVSS","V","U",5,23,NA,1,0,0,1,"U","U","U","Y",12,43.7,7.31666666666667
"HRBAK","S","U",23,23,17,0,0,0,1,"U","Y","Y","Y",12,45.3,14.5333333333333
"HRDBV","S","U",23,23,3,1,1,0,1,"U","U","Y","Y",12,42.6666666666667,18.0833333333333
"HRDUR","V","U",23,8,NA,0,0,0,0,"U","U","U","Y",12,43.45,16.65
"HRKOR","V","U",23,6,23,1,0,0,0,"Y","U","U","U",100,42.9333333333333,17.1333333333333
"HROMI","S","N",23,23,NA,1,1,0,0,"U","U","Y","Y",12,45.2166666666667,14.55
"HRPLE","V","Y",9,23,3,0,1,1,1,"U","Y","Y","U",37,43.05,17.4333333333333
